"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J204";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
2;"R219,R215,R214";"R_0603_1608Metric";3;"680/1%/0603";;;
3;"R218,R508,R505,R402,R401,R301,R216,R213,R212,R209,R207";"R_0603_1608Metric";11;"10K/1%/0603";;;
4;"R217,R211,R210";"R_0603_1608Metric";3;"330K/1%/0603";;;
5;"Q205,Q204,Q203";"SOT-23";3;"2N7002";;;
6;"C504,C306,C511,C510,C508,C507,C415,C410,C409,C408,C406,C405,C404,C323,C322,C315,C314,C313,C312,C311,C310,C307,C305,C304,C303,C301,C204,C203";"C_0603_1608Metric";28;"100nF/50V/0603";;;
7;"U202";"ESP32-WROOM-32";1;"ESP32-WROOM-32D";;;
8;"D503";"SMBJ33A-13-F";1;"SMBJ33A";;;
9;"Q202,Q201";"SOT-23";2;"S8050";;;
10;"Y301";"MC2016K250000C16ESH";1;"MC2016K25.0000C16ESH";;;
11;"U502";"LMR16020PDDAR";1;"LMR16020";;;
12;"U501";"SOT-23-5";1;"LP2985-3.3";;;
13;"U403,U401";"AD8418WBRZ-RL";2;"AD8418";;;
14;"U402";"TMC6100-LA";1;"TMC6100-LA";;;
15;"U303,U302";"SN74LVC3G17DCURE4";2;"SN74LV";;;
16;"U301";"TMC4671-LA";1;"TMC4671-LA";;;
17;"U201";"QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm";1;"CP2102N-A01-GQFN28";;;
18;"SW202";"KSR223GLFG";1;"Boot";;;
19;"SW201";"KSR223GLFG";1;"Reset";;;
20;"R522";"R_0603_1608Metric";1;"33K/1%/0603";;;
21;"R507,R506,R403,R208,R206";"R_0603_1608Metric";5;"1K/1%/0603";;;
22;"R504";"R_0603_1608Metric";1;"270K/1%/0603";;;
23;"R503";"R_0603_1608Metric";1;"47K/1%/0603";;;
24;"R502";"R_0603_1608Metric";1;"220K/1%/0603";;;
25;"R412,R410";"R_2512_6332Metric";2;"0R005/1%/3W/2512";;;
26;"R411,R409,R408,R407,R406,R405";"R_0603_1608Metric";6;"10R/1%/0603";;;
27;"R404";"R_0603_1608Metric";1;"1k/1%/0603";;;
28;"R313,R312,R311,R310,R309,R308,R307,R306,R305,R304,R303,R302";"R_0603_1608Metric";12;"4K7/1%/0603";;;
29;"R205,R204";"R_0805_2012Metric";2;"1K/1%/0805";;;
30;"R203,R202";"R_0805_2012Metric";2;"10K/1%/0805";;;
31;"R201";"R_0805_2012Metric";1;"4.7K/1%/0805";;;
32;"Q403,Q402,Q401";"TRANS_SI7288DP-T1-GE3";3;"SI7288DP-T1-GE3";;;
33;"L502,L301";"L_0603_1608Metric";2;"600R/1A/0603";;;
34;"L501";"INDPM6060X450N";1;"15uH/2.5A/VLS6045";;;
35;"L403,L402,L401";"L_1206_3216Metric";3;"50R/12A/1206";;;
36;"J501";"PHOENIX_1757242";1;"1757242";;;
37;"J401";"1803280";1;"1803280";;;
38;"J302,J301";"PinHeader_1x05_P2.54mm_Vertical";2;"Conn_01x05";;;
39;"J203,J202";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02";;;
40;"J201";"USB_Micro-B_Molex-105017-0001";1;"USB_B_Micro";;;
41;"H104,H103,H102,H101";"MountingHole_3.2mm_M3_Pad_Via";4;"MountingHole_Pad";;;
42;"FID103,FID102,FID101";"Fiducial_0.5mm_Mask1mm";3;"Fiducial";;;
43;"D502";"LTST-C191TBKT-5A";1;"LTST-C191TBKT-5A";;;
44;"D501";"DIODE_MSS1P4-M3";1;"V2PM10HM3";;;
45;"D201";"D_SOD-123F";1;"PMEG3020EH";;;
46;"C509,C503,C501";"C_0805_2012Metric";3;"10uF/16V/0805";;;
47;"C506,C505";"C_0805_2012Metric";2;"2.2uF/50V/0805";;;
48;"C502";"C_0603_1608Metric";1;"10nF/16V/0603";;;
49;"C422,C421,C420,C321,C320,C319,C318,C317,C316";"C_0603_1608Metric";9;"1nF/100V/0603";;;
50;"C419,C418,C417";"C_1210_3225Metric";3;"10uF/50V/1210";;;
51;"C416,C407";"C_0603_1608Metric";2;"2.2nF/50V/0603";;;
52;"C414";"C_0603_1608Metric";1;"22nF/100V/0603";;;
53;"C413,C412,C411,C309";"C_0603_1608Metric";4;"470nF/50V/0603";;;
54;"C403,C402";"C_0603_1608Metric";2;"2.2uF/16V/0603";;;
55;"C401";"C_0603_1608Metric";1;"100nF/50v/0603";;;
56;"C326,C325";"C_0805_2012Metric";2;"1uF/50V/0805";;;
57;"C324";"C_0603_1608Metric";1;"100nF/50V 0603";;;
58;"C308,C302";"C_0805_2012Metric";2;"4.7uF/16V/0805";;;
59;"C207,C205,C202,C201";"C_0603_1608Metric";4;"0.1uF/50V/0603";;;
60;"C206";"C_0603_1608Metric";1;"22uF/10V/0603";;;
